name,clasificar,middle clasificar,code,small clasificar,addr,long,lat
한마당당구장,관광/여가/오락,PC/오락/당구/볼링등,N01A03,당구장,부산광역시 금정구 부산대학로 62-1,129.084555199773,35.2318270072831
드라이버탁구장,관광/여가/오락,PC/오락/당구/볼링등,N01A05,탁구장,부산광역시 금정구 부산대학로 61,129.084581915373,35.2313580508101
칸피시,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 부산대학로 62-1,129.084555199773,35.2318270072831
DVD영화여행,관광/여가/오락,PC/오락/당구/볼링등,N01A02,비디오감상실,부산광역시 금정구 부산대학로 52,129.085726452967,35.2315100381756
부대당구장,관광/여가/오락,PC/오락/당구/볼링등,N01A03,당구장,부산광역시 금정구 부산대학로 57,129.0849329358,35.2313188498821
아이린pc,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 부산대학로 27,129.088377454871,35.2309454029608
피씨칸PC방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 부산대학로 62-1,129.084555199773,35.2318270072831
아이러브DVD,관광/여가/오락,PC/오락/당구/볼링등,N01A02,비디오감상실,부산광역시 금정구 부산대학로 10,129.089998993407,35.2330851062241
보디당구장2,관광/여가/오락,PC/오락/당구/볼링등,N01A03,당구장,부산광역시 금정구 부산대학로50번길 9,129.085939600599,35.231841636281
한큐당구장,관광/여가/오락,PC/오락/당구/볼링등,N01A03,당구장,부산광역시 금정구 부산대학로50번길 8,129.08615664667101,35.2316413854895
보디당구장,관광/여가/오락,PC/오락/당구/볼링등,N01A03,당구장,부산광역시 금정구 부산대학로50번길 9,129.085939600599,35.231841636281
3poppc방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 부산대학로 29,129.088155842901,35.230803174811
원탑pc방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 부산대학로49번길 7,129.08600436027,35.23093066256279
3poppc방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 부산대학로 49,129.085688936787,35.2311678506806
원탑PC&COOK,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 부산대학로49번길 7,129.08600436027,35.23093066256279
클럽DVD,관광/여가/오락,PC/오락/당구/볼링등,N01A02,비디오감상실,부산광역시 금정구 금정로60번길 24,129.087501554196,35.2295200830825
렉없넷PC,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금정로149번길 8,129.087308848398,35.2381299782474
펀앤존피시,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금정로149번길 13,129.087074910222,35.2378887076113
영화스케치,관광/여가/오락,PC/오락/당구/볼링등,N01A02,비디오감상실,부산광역시 금정구 금정로 61,129.086180642561,35.2301448810772
히트PC,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금정로149번길 13,129.087074910222,35.2378887076113
에이피씨,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금정로 99,129.08680716029102,35.23346534513021
엘리트탁구장,관광/여가/오락,PC/오락/당구/볼링등,N01A05,탁구장,부산광역시 금정구 금강로 271-5,129.08497872900801,35.2322829149026
쿨pc,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로 271,129.085187074642,35.2322540058079
OK당구장,관광/여가/오락,PC/오락/당구/볼링등,N01A03,당구장,부산광역시 금정구 금강로 265,129.085060004458,35.23178642794271
멜론피시방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로335번길 1,129.086382117651,35.2378408453711
아이비스pc,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로 271-5,129.08497872900801,35.2322829149026
ESPN당구클럽,관광/여가/오락,PC/오락/당구/볼링등,N01A03,당구장,부산광역시 금정구 금강로 271-5,129.08497872900801,35.2322829149026
인밀리터리,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로335번길 23,129.085117852531,35.2377800764607
ps존,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로 249,129.084700891544,35.230392509029
엔터존PC방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로279번길 81-6,129.08342971478,35.2355868225305
로떼PC방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로279번길 81-14,129.083181493957,35.2359225542368
옥스PC방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로 271-5,129.08497872900801,35.2322829149026
장동민의옹피씨,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로 338,129.086681965393,35.238081525622505
네버랜드pc방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 장전로12번길 45,129.088197886802,35.2298383214711
