,name,clasificar,middle clasificar,code,small clasificar,addr,long,lat
2874,참새와뱁새,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로38번길 25,129.087330736191,35.23236096099421
3113,플라잉프라이,음식,양식,Q06A01,정통양식/경양식,부산광역시 금정구 부산대학로38번길 40,129.087722893855,35.2329343198242
3786,부산대학교금정회관식당,음식,기타음식업,Q14A01,구내식당/자급식음식점,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
13185,땡초치킨,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 부산대학로49번길 22,129.085568407633,35.2303667043493
13750,좋은집,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로38번길 33,129.087367778859,35.2326670969572
14568,태양회,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로63번길 43,129.08406651612,35.2297762404193
15444,크로스로드,음식,양식,Q06A01,정통양식/경양식,부산광역시 금정구 부산대학로50번길 37,129.086295857986,35.233019245699
15769,다우다미,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로38번길 28,129.087595206556,35.2324216814302
15932,산오징어전문점,음식,일식/수산물,Q03A13,낙지/오징어,부산광역시 금정구 부산대학로50번길 15,129.085877537147,35.2321306343022
16256,굿플러스스시&대구탕,음식,일식/수산물,Q03A08,매운탕전문,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
17136,원조밀면,음식,분식,Q04A01,라면김밥분식,부산광역시 금정구 부산대학로64번길 112,129.08583500540502,35.236358481097604
18797,노스에스프레소,음식,양식,Q06A01,정통양식/경양식,부산광역시 금정구 부산대학로63번길 30,129.083952643186,35.230300060202396
19004,우리터3호,음식,유흥주점,Q09A01,호프/맥주,부산광역시 금정구 부산대학로50번길 22,129.08633090492202,35.2323519109264
19205,육회이야기,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로49번길 10,129.08570706299,35.2308792468183
19223,수타생왕돈까스,음식,양식,Q06A02,돈가스전문점,부산광역시 금정구 부산대학로64번길 32,129.084811855777,35.2329514309435
19601,도도bar,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 부산대학로50번길 5,129.085915229606,35.2316615791513
20216,항아리,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로49번길 22,129.085568407633,35.2303667043493
21091,라우포앤드야끼떼리아,음식,분식,Q04A01,라면김밥분식,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
21146,수철이네왕새우튀김,음식,분식,Q04A01,라면김밥분식,부산광역시 금정구 부산대학로49번길 42,129.085326215264,35.2295035521535
21605,루이스펍,음식,유흥주점,Q09A01,호프/맥주,부산광역시 금정구 부산대학로64번길 142,129.08621721864202,35.237833311599005
27253,테루,음식,일식/수산물,Q03A02,음식점-일식,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
28439,치토스2,음식,유흥주점,Q09A01,호프/맥주,부산광역시 금정구 부산대학로50번길 17,129.08588936236,35.232193624733206
28610,삐뽀,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 부산대학로50번길 13,129.085985460202,35.2319854454526
29750,살롱드보네,음식,제과제빵떡케익,Q08A01,제과점,부산광역시 금정구 부산대학로63번길 30,129.083952643186,35.230300060202396
31998,낭만포차,음식,유흥주점,Q09A02,소주방/포장마차,부산광역시 금정구 부산대학로50번길 14,129.08624980827298,35.2320371561624
32316,로꼬꼬,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 부산대학로38번길 9,129.087179520272,35.2317313542055
34013,유림부대밀면,음식,분식,Q04A01,라면김밥분식,부산광역시 금정구 부산대학로63번길 21-5,129.084430962544,35.2307464655009
35990,네로크레페,음식,제과제빵떡케익,Q08A01,제과점,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
37340,이모식당,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로63번길 40,129.08390427080602,35.2299669830246
40137,추풍령,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로64번길 137,129.085918093961,35.23764670635929
40633,칠성식당,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로49번길 49,129.085474951254,35.229123639162395
40894,자스민스노우펙토리본점,음식,양식,Q06A01,정통양식/경양식,부산광역시 금정구 부산대학로64번길 6,129.0844343708,35.231828089869396
41083,시디,음식,양식,Q06A01,정통양식/경양식,부산광역시 금정구 부산대학로50번길 13,129.085985460202,35.2319854454526
44684,C&J,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로50번길 21,129.086023218332,35.2323456582006
46411,리틀프랑,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로 50,129.08586888993,35.231481719093104
46885,비봉식당,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로49번길 13,129.086135331298,35.2308663908874
46953,어린왕자포차,음식,유흥주점,Q09A01,호프/맥주,부산광역시 금정구 부산대학로63번길 46-4,129.08386952014098,35.2298320872955
47586,스페로스페라,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로63번길 22,129.08394657406,35.2306696800443
48035,엑스지단란주점,음식,유흥주점,Q09A10,룸살롱/단란주점,부산광역시 금정구 부산대학로 22,129.08876587975598,35.23123936472229
49058,소다솔,음식,한식,Q01A04,한정식전문,부산광역시 금정구 부산대학로50번길 23,129.086156954671,35.2324886787979
50259,행복굽는돼지집딸,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로50번길 26,129.086376645364,35.2324867072114
54945,맥주의전당,음식,유흥주점,Q09A01,호프/맥주,부산광역시 금정구 부산대학로49번길 8,129.085368589738,35.2310355167419
55489,진성식당,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로50번길 3-4,129.085773032525,35.2317079237163
56587,진주만포장,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로50번길 23,129.086156954671,35.2324886787979
56662,맘떡떡볶이에밥볶아,음식,분식,Q04A03,떡볶이전문,부산광역시 금정구 부산대학로 62,129.084730950995,35.231825432396796
57037,할매집보리밥,음식,한식,Q01A16,보리밥전문,부산광역시 금정구 부산대학로63번길 21-3,129.084299390704,35.2307656717666
57714,온달포차,음식,유흥주점,Q09A02,소주방/포장마차,부산광역시 금정구 부산대학로63번길 46-4,129.08386952014098,35.2298320872955
57851,金太郞,음식,일식/수산물,Q03A02,음식점-일식,부산광역시 금정구 부산대학로49번길 16,129.085648659333,35.2306183707379
58233,머거스푸드,음식,분식,Q04A01,라면김밥분식,부산광역시 금정구 부산대학로63번길 39,129.084144964063,35.2298927171347
58778,총각식당,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로38번길 15,129.08723744869602,35.2319561785691
59025,와플대학,음식,패스트푸드,Q07A04,패스트푸드,부산광역시 금정구 부산대학로 23,129.088718691202,35.2309964169255
59342,헤이지,음식,양식,Q06A01,정통양식/경양식,부산광역시 금정구 부산대학로49번길 16,129.085648659333,35.2306183707379
60025,왕부정,음식,유흥주점,Q09A01,호프/맥주,부산광역시 금정구 부산대학로49번길 42,129.085326215264,35.2295035521535
61173,골목식당,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로49번길 23,129.085764563086,35.2302477657135
63468,폼프리츠,음식,유흥주점,Q09A01,호프/맥주,부산광역시 금정구 부산대학로 34-1,129.08765850442498,35.2314025547621
63974,부산밀면,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로63번길 50,129.083777211865,35.229499403440705
66819,언양생갈비,음식,한식,Q01A02,갈비/삼겹살,부산광역시 금정구 부산대학로64번길 155,129.086004722066,35.23837604523921
68222,봉지통닭,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 부산대학로50번길 16,129.08628408331,35.232136000233396
69310,북경짬뽕,음식,중식,Q02A00,중국음식/중국집,부산광역시 금정구 부산대학로 61,129.084581915373,35.2313580508101
70054,오라,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로50번길 28,129.086367102726,35.2325949583041
70520,푸조와곰솔,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로63번길 7,129.08429548178802,35.231297520473106
71481,멕시카나치킨,음식,닭/오리요리,Q05A08,후라이드/양념치킨,부산광역시 금정구 부산대학로38번길 35,129.087436212008,35.232855771669
71980,막끌리네,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로64번길 142,129.08621721864202,35.237833311599005
72775,고갈비집,음식,한식,Q01A01,한식/백반/한정식,부산광역시 금정구 부산대학로49번길 19,129.085832149738,35.230373352516
