상호명,영업소도로명소재지,업종
반도노래연습장,부산광역시 금정구 서동중심로 62 (서동),노래연습장업
용궁노래연습장,부산광역시 금정구 금강로 680-1 (남산동),노래연습장업
로얄박스노래연습장,부산광역시 금정구 서동로149번길 16 (서동),노래연습장업
열창노래연습장,부산광역시 금정구 오시게로42번길 9 (부곡동),노래연습장업
만남노래연습장,부산광역시 금정구 금정로233번길 49 (구서동),노래연습장업
베니스노래연습장,부산광역시 금정구 금강로 468 (구서동),노래연습장업
히트노래연습장,부산광역시 금정구 청룡로 22 (청룡동),노래연습장업
밀레니엄노래연습장,부산광역시 금정구 부산대학로 57 (장전동),노래연습장업
꽃돼지노래연습장,부산광역시 금정구 남산로 13 (남산동),노래연습장업
둥지노래연습장,부산광역시 금정구 금강로754번길 17 (청룡동),노래연습장업
목화노래연습장,부산광역시 금정구 금강로391번길 5 (장전동),노래연습장업
열풍노래연습장,부산광역시 금정구 청룡예전로 5  (청룡동),노래연습장업
위너노래연습장,부산광역시 금정구 금강로565번길 12 (구서동),노래연습장업
열창노래연습장,부산광역시 금정구 부곡로126번길 20  (부곡동),노래연습장업
옥소리노래연습장,부산광역시 금정구 동부곡로5번길 3  (부곡동),노래연습장업
빅타운노래연습장,부산광역시 금정구 금사로 74-1  (금사동),노래연습장업
초롱노래연습장,부산광역시 금정구 금강로 674 (남산동),노래연습장업
꺅 노래연습장,부산광역시 금정구 부산대학로 53  (장전동),노래연습장업
청룡노래연습장,부산광역시 금정구 청룡로 32 (청룡동),노래연습장업
산울림노래연습장,부산광역시 금정구 청룡로 37 (청룡동),노래연습장업
쌍쌍노래연습장,부산광역시 금정구 서동로 151 (서동),노래연습장업
황제노래연습장,부산광역시 금정구 중앙대로 2039  (남산동),노래연습장업
마돈나노래연습장,부산광역시 금정구 금강로 268  (장전동),노래연습장업
다모아노래연습장,부산광역시 금정구 금사로 109 (금사동),노래연습장업
앵두노래연습장,부산광역시 금정구 중앙대로1719번길 26 (부곡동),노래연습장업
도레미노래연습장,부산광역시 금정구 서동로 107  (서동),노래연습장업
귀빈노래연습장,부산광역시 금정구 서동로 155 (서동),노래연습장업
초대노래연습장,부산광역시 금정구 팔송로 24  (남산동),노래연습장업
까치노래연습장,부산광역시 금정구 수림로49번길 3 (장전동),노래연습장업
만남노래연습장,부산광역시 금정구 서동로 74-1  (서동),노래연습장업
너와나노래연습장,부산광역시 금정구 중앙대로2007번길 17 (남산동),노래연습장업
신바람노래연습장,부산광역시 금정구 중앙대로1719번길 64 (부곡동),노래연습장업
천복노래연습장,부산광역시 금정구 무학송로 96-1 (부곡동),노래연습장업
팡팡노래연습장,부산광역시 금정구 서동로 200  (서동),노래연습장업
하모니노래연습장,부산광역시 금정구 서동로 163  (서동),노래연습장업
로얄노래연습장,부산광역시 금정구 중앙대로1719번길 10 (부곡동),노래연습장업
골든벨노래연습장,부산광역시 금정구 서부곡로 5 (부곡동),노래연습장업
해피노래연습장,부산광역시 금정구 두실로 20  (남산동),노래연습장업
특급노래연습장,부산광역시 금정구 반송로 357  (서동),노래연습장업
만남노래연습장,부산광역시 금정구 금샘로 353  (구서동),노래연습장업
에쿠스노래연습장,부산광역시 금정구 금샘로 593 (남산동),노래연습장업
금강산노래연습장,부산광역시 금정구 서부로 8  (서동),노래연습장업
탈렌트노래연습장,부산광역시 금정구 금강로 251  (장전동),노래연습장업
파파노래연습장,부산광역시 금정구 금샘로 567-1  (남산동),노래연습장업
궁노래연습장,부산광역시 금정구 청룡로 57 (남산동),노래연습장업
궁전노래연습장,부산광역시 금정구 중앙대로 2021  (남산동),노래연습장업
앵콜노래연습장,부산광역시 금정구 남산로 28 (남산동),노래연습장업
궁전노래연습장,부산광역시 금정구 중앙대로1719번길 61 (부곡동),노래연습장업
갈채노래연습장,부산광역시 금정구 금강로335번길 58  (장전동),노래연습장업
만남노래연습장,부산광역시 금정구 회천로 2  (회동동),노래연습장업
스튜디오2,부산광역시 금정구 동부곡로6번길 3  (부곡동),노래연습장업
황실노래연습장,부산광역시 금정구 금강로565번길 7  (구서동),노래연습장업
카니발노래연습장,부산광역시 금정구 부산대학로 53-1  (장전동),노래연습장업
보물노래연습장,부산광역시 금정구 금강로 547 (구서동),노래연습장업
대성노래연습장,부산광역시 금정구 팔송로 40 (남산동),노래연습장업
오페라,부산광역시 금정구 청룡로 55 (남산동),노래연습장업
소명노래연습장,부산광역시 금정구 금강로 299  (장전동),노래연습장업
황토노래연습장,부산광역시 금정구 청룡로 68  (청룡동),노래연습장업
모모노래연습장,부산광역시 금정구 금샘로 593 (남산동),노래연습장업
서일노래연습장,부산광역시 금정구 중앙대로1959번길 8 (구서동),노래연습장업
고향노래연습장,부산광역시 금정구 금강로 686 (남산동),노래연습장업
라이브노래연습장,부산광역시 금정구 금정로91번길 19 (장전동),노래연습장업
합창노래연습장,부산광역시 금정구 구서로 3 (구서동),노래연습장업
팡팡노래연습장,부산광역시 금정구 팔송로 37 (남산동),노래연습장업
쿵따리노래연습장,부산광역시 금정구 부곡로 146 (부곡동),노래연습장업
화이팅노래연습장,부산광역시 금정구 수림로50번길 153 (구서동),노래연습장업
아리랑노래연습장,부산광역시 금정구 서동로175번길 35 (서동),노래연습장업
PSB노래연습장,부산광역시 금정구 청룡로 52 (청룡동),노래연습장업
엔젤노래연습장,부산광역시 금정구 범어천로38번길 19 (남산동),노래연습장업
발렌타인노래연습장,부산광역시 금정구 금정로68번길 34  (장전동),노래연습장업
앵콜노래연습장,부산광역시 금정구 부곡로 45 (부곡동),노래연습장업
도전노래연습장,부산광역시 금정구 서동로149번길 15 (서동),노래연습장업
열창노래연습장,부산광역시 금정구 개좌로 89-5 (금사동),노래연습장업
아싸노래연습장,부산광역시 금정구 중앙대로1945번길 30 (구서동),노래연습장업
환상노래연습장,부산광역시 금정구 서동로 75-2 (서동),노래연습장업
보경노래연습장,부산광역시 금정구 금정로207번길 32 (구서동),노래연습장업
21세기노래연습장,부산광역시 금정구 금정로149번길 13 (장전동),노래연습장업
나팔꽃노래연습장,부산광역시 금정구 금샘로 470 (남산동),노래연습장업
콜노래연습장,부산광역시 금정구 수림로50번길 153 (구서동),노래연습장업
아하 노래연습장,부산광역시 금정구 구서중앙로15번길 2 (구서동),노래연습장업
시민노래연습장,부산광역시 금정구 서동로 178 (서동),노래연습장업
토마토노래연습장,부산광역시 금정구 금정로 57  (장전동),노래연습장업
2PM노래연습장,부산광역시 금정구 금정로68번길 2 (장전동),노래연습장업
엘리트노래연습장,부산광역시 금정구 금강로 728-1 (남산동),노래연습장업
빌보드노래연습장,부산광역시 금정구 부산대학로 50  (장전동),노래연습장업
02노래연습장,부산광역시 금정구 금강로 250  (장전동),노래연습장업
화이트하우스칼리오페노래연습장,부산광역시 금정구 금정로 94  (장전동),노래연습장업
MVP노래연습장,부산광역시 금정구 부곡로 39 (부곡동),노래연습장업
싸이동전노래연습장,부산광역시 금정구 금정로68번길 35 (장전동),노래연습장업
송송노래연습장,부산광역시 금정구 중앙대로 2035 (남산동),노래연습장업
VIETNAM노래연습장,부산광역시 금정구 개좌로 89-7 (금사동),노래연습장업
오페라노래연습장,부산광역시 금정구 두실로 19 (구서동),노래연습장업
새천년노래연습장,부산광역시 금정구 서금로 3 (서동),노래연습장업
한마음노래연습장,부산광역시 금정구 서동로 122  (서동),노래연습장업
강남노래연습장,부산광역시 금정구 금샘로 561-1  (남산동),노래연습장업
행운노래연습장,부산광역시 금정구 서동로 105 (서동),노래연습장업
홍콩노래연습장,부산광역시 금정구 금샘로 397-1  (구서동),노래연습장업
올림픽노래연습장,부산광역시 금정구 서동로 159-6  (서동),노래연습장업
신바람노래연습장,부산광역시 금정구 남산로 2 (남산동),노래연습장업
UFO노래연습장,부산광역시 금정구 금강로 694 (남산동),노래연습장업
입술노래연습장,부산광역시 금정구 부곡온천천로 126 (부곡동),노래연습장업
샤프노래연습장,부산광역시 금정구 두실로7번길 35  (구서동),노래연습장업
선경노래연습장,부산광역시 금정구 금강로565번길 19 (구서동),노래연습장업
새천년2노래연습장,부산광역시 금정구 서금로 3  (서동),노래연습장업
앵콜노래연습장,부산광역시 금정구 무학송로 106 (부곡동),노래연습장업
우리동네노래연습장,부산광역시 금정구 중앙대로1945번길 10 (구서동),노래연습장업
불러볼래노래연습장,부산광역시 금정구 서동로 187-7 (서동),노래연습장업
요꼬하마노래연습장,부산광역시 금정구 서동로175번길 14  (서동),노래연습장업
자카르타노래연습장,부산광역시 금정구 금사로 58-12 (서동),노래연습장업
설운도차차차노래연습장,부산광역시 금정구 서동로 158-2 (서동),노래연습장업
콘티노래연습장,부산광역시 금정구 서동로 159-1 (서동),노래연습장업
에쿠스노래연습장,부산광역시 금정구 부곡온천천로 144 (부곡동),노래연습장업
무지개노래연습장,부산광역시 금정구 서부곡로 7 (부곡동),노래연습장업
아리아노래연습장,부산광역시 금정구 수림로 17  (부곡동),노래연습장업
산자락노래연습장,부산광역시 금정구 산성로 530  (금성동),노래연습장업
꿀단지노래연습장,부산광역시 금정구 부곡로 143 (부곡동),노래연습장업
필승,부산광역시 금정구 구서로 20 (구서동),노래연습장업
에펠노래연습장,부산광역시 금정구 범어사로 425  (청룡동),노래연습장업
탑노래연습장,부산광역시 금정구 범어사로 425  (청룡동),노래연습장업
카리스마노래연습장,부산광역시 금정구 금정로237번길 16 (구서동),노래연습장업
아마츄어노래연습장,부산광역시 금정구 서동로 103 (서동),노래연습장업
비타민노래연습장,부산광역시 금정구 서동로194번길 22 (서동),노래연습장업
뉴코리아,부산광역시 금정구 서동로 187-9 (서동),노래연습장업
황실노래연습장,부산광역시 금정구 서동로 191 (서동),노래연습장업
둥지노래연습장,부산광역시 금정구 부곡로 128  (부곡동),노래연습장업
환타지노래연습장,부산광역시 금정구 금단로 190  (남산동),노래연습장업
맥스노래연습장,부산광역시 금정구 금강로709번길 5  (남산동),노래연습장업
황토노래연습장,부산광역시 금정구 청룡로 68 (청룡동),노래연습장업
B앤B노래연습장,부산광역시 금정구 중앙대로 2041-1 (남산동),노래연습장업
헤라노래연습장,부산광역시 금정구 서동로 154  (서동),노래연습장업
여가노래연습장,부산광역시 금정구 금사로 108 (금사동),노래연습장업
체리노래연습장,부산광역시 금정구 금샘로 464  (남산동),노래연습장업
