업종명,업소명,소재지,소재지전화
일반음식점,파전이랑 닭갈비,부산광역시 금정구 장전동 360-15,
일반음식점,동래골프장식당,부산광역시 금정구 선동 834-1 외6필지,051-580-0361
일반음식점,부산컨트리구내식당,부산광역시 금정구 노포동 368,051-508-0782
일반음식점,밀양집,부산광역시 금정구 금성동 886,051-517-1636
일반음식점,풍년집,부산광역시 금정구 금성동 981,
일반음식점,창녕두부집,부산광역시 금정구 금성동 545,051-517-1251
일반음식점,소나무집,부산광역시 금정구 금성동 981,051-517-1905
일반음식점,연자방아,부산광역시 금정구 금성동 980,051-517-6870
일반음식점,산성집,부산광역시 금정구 금성동 864,051-517-7900
일반음식점,홍기와집,부산광역시 금정구 금성동 977,051-517-1232
일반음식점,차씨집,부산광역시 금정구 금성동 629,051-517-1896
일반음식점,성안집,부산광역시 금정구 금성동 630-0,
일반음식점,민속촌집,부산광역시 금정구 금성동 965,
일반음식점,감나무집,부산광역시 금정구 금성동 885-1,
일반음식점,물레방아집,부산광역시 금정구 금성동 882,051-517-5555
일반음식점,부곡반점,부산광역시 금정구 부곡동 308-16,051-513-9982
일반음식점,팔송식당,부산광역시 금정구 청룡동 22-12,051-508-5600
일반음식점,부산집,부산광역시 금정구 금성동 984,
일반음식점,고향집,부산광역시 금정구 금성동 968,
일반음식점,합천집,부산광역시 금정구 금성동 868,
일반음식점,첫동네끝집,부산광역시 금정구 금성동 981,051-517-6870
일반음식점,은행나무집,부산광역시 금정구 금성동 785-0,
일반음식점,옹달샘집,부산광역시 금정구 금성동 964,
일반음식점,금호장,부산광역시 금정구 금성동 891-3,
일반음식점,기장집,부산광역시 금정구 금성동 867,
일반음식점,의령촌집,부산광역시 금정구 금성동 873,
일반음식점,사계절집,부산광역시 금정구 금성동 890,051-517-0776
일반음식점,함지박,부산광역시 금정구 금성동 979,
일반음식점,월성집,부산광역시 금정구 금성동 980,
일반음식점,천하대장군,부산광역시 금정구 금성동 898,051-517-7544
일반음식점,대게마당,부산광역시 금정구 장전동 96-27,051-513-4411
일반음식점,골목집,부산광역시 금정구 금성동 860,
일반음식점,철마집,부산광역시 금정구 금성동 908-0,
일반음식점,의성집,부산광역시 금정구 금성동 833,
일반음식점,명성집,부산광역시 금정구 금성동 973,
일반음식점,녹산집,부산광역시 금정구 금성동 878,
일반음식점,설궁,부산광역시 금정구 금성동 512,
일반음식점,만덕집,부산광역시 금정구 금성동 251-0,
일반음식점,종점집,부산광역시 금정구 금성동 269,
일반음식점,과수원집,부산광역시 금정구 금성동 567-1,
일반음식점,우정집,부산광역시 금정구 금성동 274,
일반음식점,포구나무집,부산광역시 금정구 금성동 259,051-517-5815
일반음식점,토속주점,부산광역시 금정구 금성동 558,
일반음식점,터주집,부산광역시 금정구 금성동 857-1,
일반음식점,경주집,부산광역시 금정구 금성동 981,
일반음식점,양남집,부산광역시 금정구 금성동 546-0,
일반음식점,마산집,부산광역시 금정구 금성동 268,
일반음식점,남산집,부산광역시 금정구 금성동 871,
일반음식점,옛집,부산광역시 금정구 금성동 975,
일반음식점,생수집,부산광역시 금정구 금성동 638-1,
일반음식점,동문집,부산광역시 금정구 금성동 41-5,051-517-6504
일반음식점,대구집,부산광역시 금정구 금성동 559-0,
일반음식점,울산집,부산광역시 금정구 금성동 263,051-581-6774
일반음식점,대연집,부산광역시 금정구 금성동 556,
