상호,우편번호,영업소소재지(도로명),영업소소재지(지번),업종명
카오 PC,46318,부산광역시 금정구 서동로 105 (서동),부산광역시 금정구 서동 302-1203번지,인터넷컴퓨터게임시설제공업
123PC,46303,부산광역시 금정구 동부곡로10번길 1 (부곡동),부산광역시 금정구 부곡동 313-1번지,인터넷컴퓨터게임시설제공업
영재PC,,부산광역시 금정구 금강로279번길 78 (장전동),부산광역시 금정구 장전동 269-5번지,인터넷컴퓨터게임시설제공업
애플PC방,,부산광역시 금정구 중앙대로 2035 (남산동),부산광역시 금정구 남산동 105-9번지,인터넷컴퓨터게임시설제공업
쿠치나PC,,부산광역시 금정구 서동로149번길 16 (서동),부산광역시 금정구 서동 195-1번지,인터넷컴퓨터게임시설제공업
쿠키PC방,46243,"부산광역시 금정구 구서로 2 (구서동, 정우빌딩)",부산광역시 금정구 구서동 86-55번지,인터넷컴퓨터게임시설제공업
J FACTORY,46243,"부산광역시 금정구 금강로 442 (구서동, 보배빌딩)",부산광역시 금정구 구서동 87-25번지,인터넷컴퓨터게임시설제공업
렉없넷pc방,46283,부산광역시 금정구 금정로149번길 8 (장전동),부산광역시 금정구 장전동 213-9번지,인터넷컴퓨터게임시설제공업
앤PC방,,부산광역시 금정구 부산대학로 59 (장전동),부산광역시 금정구 장전동 399-9번지,인터넷컴퓨터게임시설제공업
OX PC방 부산대2호점,46291,"부산광역시 금정구 금정로68번길 22, 3층 (장전동)",부산광역시 금정구 장전동 308-4번지,인터넷컴퓨터게임시설제공업
아이파크PC방,,부산광역시 금정구 중앙대로1719번길 23 (부곡동),부산광역시 금정구 부곡동 225-71번지,인터넷컴퓨터게임시설제공업
사이버존PC방,,부산광역시 금정구 수림로85번길 53 (장전동),부산광역시 금정구 장전동 146-5번지,인터넷컴퓨터게임시설제공업
인터플레이 PC방,46217,부산광역시 금정구 팔송로 36 (남산동),부산광역시 금정구 남산동 196-4번지,인터넷컴퓨터게임시설제공업
엔터존PC방,,부산광역시 금정구 금강로279번길 81-6 (장전동),부산광역시 금정구 장전동 54-2번지,인터넷컴퓨터게임시설제공업
젠PC방,,부산광역시 금정구 부곡로 39 (부곡동),부산광역시 금정구 부곡동 394-19번지,인터넷컴퓨터게임시설제공업
쿨PC,,부산광역시 금정구 금강로 271 (장전동),부산광역시 금정구 장전동 419-11번지,인터넷컴퓨터게임시설제공업
3POP PC(부산대 정문점),46293,"부산광역시 금정구 부산대학로 49 (장전동, 오션프라자)",부산광역시 금정구 장전동 420-1번지,인터넷컴퓨터게임시설제공업
허브PC방(부곡동),46272,부산광역시 금정구 부곡로 131 (부곡동),부산광역시 금정구 부곡동 296-94번지,인터넷컴퓨터게임시설제공업
네버랜드PC방,46291,부산광역시 금정구 장전로12번길 45 (장전동),부산광역시 금정구 장전동 293-6번지,인터넷컴퓨터게임시설제공업
바벨PC존,,부산광역시 금정구 중앙대로1929번길 20 (구서동),부산광역시 금정구 구서동 167-96번지,인터넷컴퓨터게임시설제공업
자이언트PC방,,부산광역시 금정구 남산로 27 (남산동),부산광역시 금정구 남산동 112-1번지,인터넷컴퓨터게임시설제공업
여우별PC방,,부산광역시 금정구 구서로 3 (구서동),부산광역시 금정구 구서동 415-33번지,인터넷컴퓨터게임시설제공업
