,name,clasificar,middle clasificar,code,small clasificar,addr,long,lat
10467,한마당당구장,관광/여가/오락,PC/오락/당구/볼링등,N01A03,당구장,부산광역시 금정구 부산대학로 62-1,129.084555199773,35.2318270072831
24868,드라이버탁구장,관광/여가/오락,PC/오락/당구/볼링등,N01A05,탁구장,부산광역시 금정구 부산대학로 61,129.084581915373,35.2313580508101
30474,칸피시,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 부산대학로 62-1,129.084555199773,35.2318270072831
64913,DVD영화여행,관광/여가/오락,PC/오락/당구/볼링등,N01A02,비디오감상실,부산광역시 금정구 부산대학로 52,129.085726452967,35.2315100381756
65933,부대당구장,관광/여가/오락,PC/오락/당구/볼링등,N01A03,당구장,부산광역시 금정구 부산대학로 57,129.0849329358,35.2313188498821
67635,아이린pc,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 부산대학로 27,129.088377454871,35.2309454029608
116907,피씨칸PC방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 부산대학로 62-1,129.084555199773,35.2318270072831
120506,아이러브DVD,관광/여가/오락,PC/오락/당구/볼링등,N01A02,비디오감상실,부산광역시 금정구 부산대학로 10,129.089998993407,35.2330851062241
130964,보디당구장2,관광/여가/오락,PC/오락/당구/볼링등,N01A03,당구장,부산광역시 금정구 부산대학로50번길 9,129.085939600599,35.231841636281
130966,한큐당구장,관광/여가/오락,PC/오락/당구/볼링등,N01A03,당구장,부산광역시 금정구 부산대학로50번길 8,129.08615664667101,35.2316413854895
131145,보디당구장,관광/여가/오락,PC/오락/당구/볼링등,N01A03,당구장,부산광역시 금정구 부산대학로50번길 9,129.085939600599,35.231841636281
134454,3poppc방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 부산대학로 29,129.088155842901,35.230803174811
134456,원탑pc방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 부산대학로49번길 7,129.08600436027,35.23093066256279
135090,3poppc방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 부산대학로 49,129.085688936787,35.2311678506806
135752,원탑PC&COOK,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 부산대학로49번길 7,129.08600436027,35.23093066256279
27441,클럽DVD,관광/여가/오락,PC/오락/당구/볼링등,N01A02,비디오감상실,부산광역시 금정구 금정로60번길 24,129.087501554196,35.2295200830825
52172,렉없넷PC,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금정로149번길 8,129.087308848398,35.2381299782474
58003,펀앤존피시,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금정로149번길 13,129.087074910222,35.2378887076113
65527,기당구장,관광/여가/오락,PC/오락/당구/볼링등,N01A03,당구장,부산광역시 금정구 금정로233번길 55,129.09092383438602,35.247183326676705
67636,당구클럽,관광/여가/오락,PC/오락/당구/볼링등,N01A03,당구장,부산광역시 금정구 금정로233번길 41,129.090826647287,35.2464901430612
88836,영화스케치,관광/여가/오락,PC/오락/당구/볼링등,N01A02,비디오감상실,부산광역시 금정구 금정로 61,129.086180642561,35.2301448810772
104144,히트PC,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금정로149번길 13,129.087074910222,35.2378887076113
119577,에이피씨,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금정로 99,129.08680716029102,35.233465345130206
14470,엘리트탁구장,관광/여가/오락,PC/오락/당구/볼링등,N01A05,탁구장,부산광역시 금정구 금강로 271-5,129.08497872900801,35.2322829149026
25167,유니넷PC,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로 567,129.087586764653,35.258120008291705
27068,무지개당구,관광/여가/오락,PC/오락/당구/볼링등,N01A03,당구장,부산광역시 금정구 금강로565번길 11,129.087024331396,35.2579718284527
31384,쿨pc,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로 271,129.085187074642,35.2322540058079
31839,상리큐당구,관광/여가/오락,PC/오락/당구/볼링등,N01A03,당구장,부산광역시 동래구 금강로 88,129.07864491654,35.216889859575794
36050,허브PC,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로 442,129.08910877130398,35.2470284134193
44904,둥지기원,관광/여가/오락,PC/오락/당구/볼링등,N01A09,기원,부산광역시 금정구 금강로 370-4,129.086620244208,35.240867336801
49523,OK당구장,관광/여가/오락,PC/오락/당구/볼링등,N01A03,당구장,부산광역시 금정구 금강로 265,129.085060004458,35.23178642794271
49792,세진기원,관광/여가/오락,PC/오락/당구/볼링등,N01A09,기원,부산광역시 금정구 금강로565번길 11,129.087024331396,35.2579718284527
52620,멜론피시방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로335번길 1,129.086382117651,35.2378408453711
55017,아이비스pc,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로 271-5,129.08497872900801,35.2322829149026
55438,이정돈되야PC방이지,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로 669,129.08897360945699,35.26731957834671
55887,ESPN당구클럽,관광/여가/오락,PC/오락/당구/볼링등,N01A03,당구장,부산광역시 금정구 금강로 271-5,129.08497872900801,35.2322829149026
56038,청마기원,관광/여가/오락,PC/오락/당구/볼링등,N01A09,기원,부산광역시 동래구 금강로 85,129.078214455162,35.2167314453595
57696,패밀리탁구장,관광/여가/오락,PC/오락/당구/볼링등,N01A05,탁구장,부산광역시 금정구 금강로 735-1,129.088833538106,35.273278914503706
58601,인밀리터리,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로335번길 23,129.085117852531,35.2377800764607
62847,금강PC,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 동래구 금강로 103,129.07915666337098,35.2182103299504
63342,씨엘PC,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 동래구 금강로 174,129.082034032577,35.2239715114906
63356,인터칸PC,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로565번길 11,129.087024331396,35.2579718284527
66061,E네이쳐,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로565번길 22,129.086566445463,35.2582463534747
66102,바둑기원,관광/여가/오락,PC/오락/당구/볼링등,N01A09,기원,부산광역시 금정구 금강로 570,129.087875101953,35.258315718807005
70727,ps존,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로 249,129.084700891544,35.230392509029
100531,엔터존PC방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로279번길 81-6,129.08342971478,35.2355868225305
110593,아이린PC방,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로 700,129.08931520837498,35.26984936196
113996,라이또PC방구서점,관광/여가/오락,PC/오락/당구/볼링등,N01A01,인터넷PC방,부산광역시 금정구 금강로565번길 26,129.086314082072,35.2582756606054
