name,clasificar,middle clasificar,code,small clasificar,addr,long,lat
자스민2,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로64번길 43,129.084697503852,35.233439200300495
산뽀,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로64번안길 2,129.085411689793,35.2359206026603
캣츠,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
커피느낌,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로 62,129.084730950995,35.231825432396796
베네,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
카페마운틴,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
스타벅스,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로64번길 12,129.084581127286,35.2321242300263
이삭토스트,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로 63,129.084417869164,35.231413603351
빽다방,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로64번길 34,129.084856994117,35.233041164266794
캐릭터카페티니위니카페부산대엔씨점,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
커피빌리지,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
운죽정북카페,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2-1,129.07332239626,35.2364250187992
체리,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
노스커피북문,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로64번길 40,129.084881483268,35.233230234315705
티니위니카페,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
아마스빈부산대1호점,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 11,129.084216312742,35.231126967607295
뉘앙스사주카페,음식,커피점/카페,Q12A05,사주카페,부산광역시 금정구 부산대학로63번길 21,129.08413306731399,35.2306499822692
할리스커피,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
커피어웨이크,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 46-4,129.08386952014098,35.2298320872955
