,name,clasificar,middle clasificar,code,small clasificar,addr,long,lat
0,자스민2,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로64번길 43,129.084697503852,35.233439200300495
2,캣츠,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
3,커피느낌,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로 62,129.084730950995,35.231825432396796
4,베네,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
5,카페마운틴,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
6,스타벅스,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로64번길 12,129.084581127286,35.2321242300263
7,이삭토스트,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로 63,129.084417869164,35.231413603351
8,빽다방,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로64번길 34,129.084856994117,35.233041164266794
9,캐릭터카페티니위니카페부산대엔씨점,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
10,커피빌리지,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
12,체리,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
13,노스커피북문,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로64번길 40,129.084881483268,35.233230234315705
14,티니위니카페,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
15,아마스빈부산대1호점,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 11,129.084216312742,35.23112696760729
16,뉘앙스사주카페,음식,커피점/카페,Q12A05,사주카페,부산광역시 금정구 부산대학로63번길 21,129.08413306731399,35.2306499822692
17,할리스커피,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
18,커피어웨이크,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 46-4,129.08386952014098,35.2298320872955
19,CAFECCC,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로50번길 11-8,129.08570094475598,35.23206912188579
20,공차,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
21,더카페,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
22,C&J,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로50번길 22,129.08633090492202,35.2323519109264
23,더벤티부산대점,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로64번길 42,129.085048173107,35.233372960755794
25,뉴욕핫도그앤커피,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083855791079,35.232103685788005
26,커피맘스,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로64번길 43,129.084697503852,35.233439200300495
27,카페안집,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 37-5,129.084388055419,35.22999870514371
28,번아웃커피,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로 60-1,129.084784433492,35.231716787618
29,엉클김,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로64번길 94-8,129.085888303075,35.235411555751796
30,커피베이,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2,129.083846844508,35.2322570003316
