,name,clasificar,middle clasificar,code,small clasificar,addr,long,lat
1,산뽀,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로64번안길 2,129.085411689793,35.2359206026603
11,운죽정북카페,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로63번길 2-1,129.07332239626,35.2364250187992
74,105,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로279번길 111,129.083687807114,35.2368194004771
76,백조,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 308,129.086374163559,35.235596485284795
81,두커피로스터스,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로321번길 66,129.082932708303,35.237042489748504
83,로제커피,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로335번길 40,129.084264361273,35.238040111275296
86,빈스에스프레소,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로279번길 81-4,129.083715323792,35.235584265629996
87,엔커피,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로279번길 81-10,129.083133719838,35.2356345406289
95,더리터,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로335번길 17,129.08554687778098,35.237821298192
96,릴리앤제이,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로335번길 81,129.08197642730102,35.2378352413696
98,다짐스터디카페,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로335번길 21,129.085260900924,35.2377968214424
100,카페,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로335번길 10-2,129.085948113493,35.2382503602583
