,name,clasificar,middle clasificar,code,small clasificar,addr,long,lat
24,할리스커피,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로 29,129.088155842901,35.230803174811
35,카페해뮴,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로 29,129.088155842901,35.230803174811
36,도르샐러드,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로 30-3,129.08791126555,35.231409297035704
37,네오,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 부산대학로 29,129.088155842901,35.230803174811
43,약속다방,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 106,129.087441104397,35.234045547296205
44,이솝페이블,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 16,129.087128935343,35.2295865267446
46,나무그늘,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 24,129.087501554196,35.2295200830825
51,달콤커피부산대점,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 20,129.087304922081,35.229602973629106
52,간단하지만특별한화피디Cafe봄봄장전점,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 151,129.087682107618,35.238108596901796
53,커피엔스타,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 24,129.087501554196,35.2295200830825
55,앤커피숍,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 149,129.08767982139,35.237937355668286
56,엠제이커피로스터리,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 127-1,129.087489898988,35.2360551823655
57,자스민커피,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로68번길 42,129.08869807424,35.2302754993617
58,달콤,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 20,129.087304922081,35.229602973629106
59,청와삼대,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 151,129.087682107618,35.238108596901796
60,분홍숲,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 19,129.087373352321,35.229791648520205
62,카페비윤,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로52번길 27,129.087759158406,35.2290670789075
63,간단하지만특별한화피디Cafe,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로52번길 27,129.087759158406,35.2290670789075
64,비윤,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로52번길 27,129.087759158406,35.2290670789075
66,크로체,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로 94,129.087261060014,35.2329024140501
67,헨젤과그레텔,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 14,129.087141602715,35.2297126060431
68,팔공티,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 37,129.088336949744,35.229557643743604
69,번아웃커피,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 48,129.088958589246,35.2292185426931
70,화이트펜슬스터디카페,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로60번길 24,129.087501554196,35.2295200830825
71,컵넛,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로149번안길 18,129.08698995665898,35.2372855473999
72,구디너프,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금정로52번길 21,129.087408389745,35.2291243132681
79,네로커피나라,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 금강로 336,129.08669042609802,35.2378921603016
104,아레테,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 장전로12번길 55,129.088135712383,35.2301183078655
105,캣스토리,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 장전로12번길 52-4,129.08860442146602,35.229843679814294
106,스테이히얼투데이,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 장전로20번길 27,129.08715731895398,35.2292437477715
107,라프,음식,커피점/카페,Q12A01,커피전문점/카페/다방,부산광역시 금정구 장전로20번길 23,129.087133667573,35.2291177671145
